,text,reply_settings,possibly_sensitive,edit_history_tweet_ids,source,lang,referenced_tweets,conversation_id,created_at,context_annotations,author_id,id,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,entities.urls,entities.hashtags,entities.annotations,edit_controls.edits_remaining,edit_controls.is_edit_eligible,edit_controls.editable_until,in_reply_to_user_id,entities.mentions,attachments.media_keys
0,Join me in this massive airdrop from Attlas https://t.co/NJI9ON4cSL with iPhone14 and 600.000.000 SHIB prize pool! #attlas #attlas_airdrop,everyone,False,['1591204778486665218'],Twitter Web App,en,"[{'type': 'quoted', 'id': '1590276961544601603'}]",1591204778486665218,2022-11-11T23:02:37.000Z,"[{'domain': {'id': '46', 'name': 'Business Taxonomy', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '1557696848252391426', 'name': 'Financial Services Business', 'description': 'Brands, companies, advertisers and every non-person handle with the profit intent related to Banks, Credit cards, Insurance, Investments, Stocks '}}, {'domain': {'id': '46', 'name': 'Business Taxonomy', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '1557697333571112960', 'name': 'Technology Business', 'description': 'Brands, companies, advertisers and every non-person handle with the profit intent related to softwares, apps, communication equipments, hardwares'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10026364281', 'name': 'Apple'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1007360414114435072', 'name': 'Bitcoin cryptocurrency', 'description': 'Bitcoin Cryptocurrency'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1139229087682068480', 'name': 'Tether cryptocurrency'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1448236149676261380', 'name': 'Shiba Inu'}}, {'domain': {'id': '48', 'name': 'Product', 'description': 'Products created by Brands.  Examples: Ford Explorer, Apple iPhone.'}, 'entity': {'id': '10024011738', 'name': 'Apple - iPhone'}}, {'domain': {'id': '49', 'name': 'Product Version', 'description': ""The specific model or version of a product.  Examples: Audi A8, Ben & Jerry's Chocolate Chip Ice Cream""}, 'entity': {'id': '1572673833676333056', 'name': 'Iphone 14'}}, {'domain': {'id': '49', 'name': 'Product Version', 'description': ""The specific model or version of a product.  Examples: Audi A8, Ben & Jerry's Chocolate Chip Ice Cream""}, 'entity': {'id': '1584926191374344192', 'name': 'Iphone 14'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '913142676819648512', 'name': 'Cryptocurrencies', 'description': 'Cryptocurrency'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '10026364281', 'name': 'Apple'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '913142676819648512', 'name': 'Cryptocurrencies', 'description': 'Cryptocurrency'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1007360414114435072', 'name': 'Bitcoin cryptocurrency', 'description': 'Bitcoin Cryptocurrency'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1139229087682068480', 'name': 'Tether cryptocurrency'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1448236149676261380', 'name': 'Shiba Inu'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1478776259068907541', 'name': 'Cryptotokens'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1484181943616884743', 'name': 'Cryptocoins'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1491481998862348291', 'name': 'Digital asset industry'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1492162686204854274', 'name': 'Digital assets & cryptocurrency', 'description': 'Cryptocurrency'}}, {'domain': {'id': '174', 'name': 'Digital Assets & Crypto', 'description': 'For cryptocurrency entities'}, 'entity': {'id': '1007360414114435072', 'name': 'Bitcoin cryptocurrency', 'description': 'Bitcoin Cryptocurrency'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10026364281', 'name': 'Apple'}}, {'domain': {'id': '48', 'name': 'Product', 'description': 'Products created by Brands.  Examples: Ford Explorer, Apple iPhone.'}, 'entity': {'id': '10024011738', 'name': 'Apple - iPhone'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '848920371311001600', 'name': 'Technology', 'description': 'Technology and computing'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '848985956778561538', 'name': 'Mobile', 'description': 'Mobile'}}]",1457597245826633731,1591204778486665218,0,0,0,0,"[{'start': 44, 'end': 67, 'url': 'https://t.co/NJI9ON4cSL', 'expanded_url': 'https://twitter.com/attlas_exchange/status/1590276961544601603', 'display_url': 'twitter.com/attlas_exchang…'}]","[{'start': 115, 'end': 122, 'tag': 'attlas'}, {'start': 123, 'end': 138, 'tag': 'attlas_airdrop'}]","[{'start': 37, 'end': 42, 'probability': 0.4188, 'type': 'Organization', 'normalized_text': 'Attlas'}, {'start': 73, 'end': 80, 'probability': 0.8627, 'type': 'Product', 'normalized_text': 'iPhone14'}, {'start': 98, 'end': 101, 'probability': 0.4638, 'type': 'Other', 'normalized_text': 'SHIB'}, {'start': 116, 'end': 121, 'probability': 0.3372, 'type': 'Organization', 'normalized_text': 'attlas'}, {'start': 124, 'end': 137, 'probability': 0.5835, 'type': 'Other', 'normalized_text': 'attlas_airdrop'}]",5,True,2022-11-11T23:32:37.000Z,,,
1,"@gpWuhRSCykfHkGM iPhone14が欲しいですm(*_ _)m

ご縁がありますように🍀*゜",everyone,False,['1591204755988426752'],Twitter Web App,ja,"[{'type': 'replied_to', 'id': '1591204122102988802'}]",1591204122102988802,2022-11-11T23:02:31.000Z,"[{'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10026364281', 'name': 'Apple'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '10026364281', 'name': 'Apple'}}]",2835093498,1591204755988426752,0,0,0,0,,,,5,False,2022-11-11T23:32:31.000Z,1186858463625760768,"[{'start': 0, 'end': 16, 'username': 'gpWuhRSCykfHkGM', 'id': '1186858463625760768'}]",
2,"RT @gpWuhRSCykfHkGM: 🎁プレゼント企画🎁

スイッチ＆スプラ3/iPhone14/アマギフ5万円分の中から、好きな物をプレゼント❗
※当選実績は「いいね」参照

【応募方法】
1️⃣@gpWuhRSCykfHkGMをフォロー
2️⃣この投稿をRT
※完了した…",everyone,False,['1591204721007943680'],Twitter for iPhone,ja,"[{'type': 'retweeted', 'id': '1591204122102988802'}]",1591204721007943680,2022-11-11T23:02:23.000Z,"[{'domain': {'id': '46', 'name': 'Business Taxonomy', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '1557696940178935808', 'name': 'Gaming Business', 'description': 'Brands, companies, advertisers and every non-person handle with the profit intent related to offline and online games such as gaming consoles, tabletop games, video game publishers'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10026364281', 'name': 'Apple'}}, {'domain': {'id': '71', 'name': 'Video Game', 'description': 'A video game like Overwatch'}, 'entity': {'id': '854949050151452672', 'name': 'Splatoon', 'description': 'This entity includes all conversation about the franchise, as well as any individual installments in the series, if applicable.\t\t\t'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '10026364281', 'name': 'Apple'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '847527650667094017', 'name': 'Gaming', 'description': 'Gaming'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '854949050151452672', 'name': 'Splatoon', 'description': 'This entity includes all conversation about the franchise, as well as any individual installments in the series, if applicable.\t\t\t'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1070028159964262400', 'name': 'Video games'}}]",1300659835008999424,1591204721007943680,1653,0,0,0,,,,5,False,2022-11-11T23:32:23.000Z,,"[{'start': 3, 'end': 19, 'username': 'gpWuhRSCykfHkGM', 'id': '1186858463625760768'}, {'start': 101, 'end': 117, 'username': 'gpWuhRSCykfHkGM', 'id': '1186858463625760768'}]",
3,"RT @gpWuhRSCykfHkGM: 🎁プレゼント企画🎁

スイッチ＆スプラ3/iPhone14/アマギフ5万円分の中から、好きな物をプレゼント❗
※当選実績は「いいね」参照

【応募方法】
1️⃣@gpWuhRSCykfHkGMをフォロー
2️⃣この投稿をRT
※完了した…",everyone,False,['1591204696823566339'],Twitter Web App,ja,"[{'type': 'retweeted', 'id': '1591204122102988802'}]",1591204696823566339,2022-11-11T23:02:17.000Z,"[{'domain': {'id': '46', 'name': 'Business Taxonomy', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '1557696940178935808', 'name': 'Gaming Business', 'description': 'Brands, companies, advertisers and every non-person handle with the profit intent related to offline and online games such as gaming consoles, tabletop games, video game publishers'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10026364281', 'name': 'Apple'}}, {'domain': {'id': '71', 'name': 'Video Game', 'description': 'A video game like Overwatch'}, 'entity': {'id': '854949050151452672', 'name': 'Splatoon', 'description': 'This entity includes all conversation about the franchise, as well as any individual installments in the series, if applicable.\t\t\t'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '10026364281', 'name': 'Apple'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '847527650667094017', 'name': 'Gaming', 'description': 'Gaming'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '854949050151452672', 'name': 'Splatoon', 'description': 'This entity includes all conversation about the franchise, as well as any individual installments in the series, if applicable.\t\t\t'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1070028159964262400', 'name': 'Video games'}}]",283282725,1591204696823566339,1653,0,0,0,,,,5,False,2022-11-11T23:32:17.000Z,,"[{'start': 3, 'end': 19, 'username': 'gpWuhRSCykfHkGM', 'id': '1186858463625760768'}, {'start': 101, 'end': 117, 'username': 'gpWuhRSCykfHkGM', 'id': '1186858463625760768'}]",
4,"RT @RockfordJoblist: 私の方から超激熱サプライズ🎁

iPhone14が
またまた手に入りましたので
フォロワー様に配ります。

希望者は
投稿のRT×コメントお願いします

ランダムで選びます。 https://t.co/srUiDbP114",everyone,True,['1591204660668682240'],Twitter for iPhone,ja,"[{'type': 'retweeted', 'id': '1590668341227622400'}]",1591204660668682240,2022-11-11T23:02:08.000Z,"[{'domain': {'id': '46', 'name': 'Business Taxonomy', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '1557696940178935808', 'name': 'Gaming Business', 'description': 'Brands, companies, advertisers and every non-person handle with the profit intent related to offline and online games such as gaming consoles, tabletop games, video game publishers'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10026364281', 'name': 'Apple'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '10026364281', 'name': 'Apple'}}]",2393727984,1591204660668682240,2257,0,0,0,"[{'start': 109, 'end': 132, 'url': 'https://t.co/srUiDbP114', 'expanded_url': 'https://twitter.com/RockfordJoblist/status/1590668341227622400/photo/1', 'display_url': 'pic.twitter.com/srUiDbP114', 'media_key': '3_1590636852179914753'}]",,,5,False,2022-11-11T23:32:08.000Z,,"[{'start': 3, 'end': 19, 'username': 'RockfordJoblist', 'id': '327975323'}]",['3_1590636852179914753']
5,"RT @sirollc: おはようございます！

今日もiPhone14欲しい方は
リツイート、フォローで教えて下さい。 https://t.co/CsdFvLQ4en",mentionedUsers,False,['1591204640863178755'],Twitter Web App,ja,"[{'type': 'retweeted', 'id': '1591203472934047745'}]",1591204640863178755,2022-11-11T23:02:04.000Z,"[{'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10026364281', 'name': 'Apple'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '10026364281', 'name': 'Apple'}}]",1082199091461804032,1591204640863178755,674,0,0,0,"[{'start': 61, 'end': 84, 'url': 'https://t.co/CsdFvLQ4en', 'expanded_url': 'https://twitter.com/sirollc/status/1591203472934047745/photo/1', 'display_url': 'pic.twitter.com/CsdFvLQ4en', 'media_key': '3_1591203465224589312'}]",,,5,False,2022-11-11T23:32:04.000Z,,"[{'start': 3, 'end': 11, 'username': 'sirollc', 'id': '449106717'}]",['3_1591203465224589312']
6,"RT @gpWuhRSCykfHkGM: 🎁プレゼント企画🎁

スイッチ＆スプラ3/iPhone14/アマギフ5万円分の中から、好きな物をプレゼント❗
※当選実績は「いいね」参照

【応募方法】
1️⃣@gpWuhRSCykfHkGMをフォロー
2️⃣この投稿をRT
※完了した…",everyone,False,['1591204635163123714'],Twitter Web App,ja,"[{'type': 'retweeted', 'id': '1591204122102988802'}]",1591204635163123714,2022-11-11T23:02:02.000Z,"[{'domain': {'id': '46', 'name': 'Business Taxonomy', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '1557696940178935808', 'name': 'Gaming Business', 'description': 'Brands, companies, advertisers and every non-person handle with the profit intent related to offline and online games such as gaming consoles, tabletop games, video game publishers'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10026364281', 'name': 'Apple'}}, {'domain': {'id': '71', 'name': 'Video Game', 'description': 'A video game like Overwatch'}, 'entity': {'id': '854949050151452672', 'name': 'Splatoon', 'description': 'This entity includes all conversation about the franchise, as well as any individual installments in the series, if applicable.\t\t\t'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '10026364281', 'name': 'Apple'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '847527650667094017', 'name': 'Gaming', 'description': 'Gaming'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '854949050151452672', 'name': 'Splatoon', 'description': 'This entity includes all conversation about the franchise, as well as any individual installments in the series, if applicable.\t\t\t'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1070028159964262400', 'name': 'Video games'}}]",2835093498,1591204635163123714,1653,0,0,0,,,,5,False,2022-11-11T23:32:02.000Z,,"[{'start': 3, 'end': 19, 'username': 'gpWuhRSCykfHkGM', 'id': '1186858463625760768'}, {'start': 101, 'end': 117, 'username': 'gpWuhRSCykfHkGM', 'id': '1186858463625760768'}]",
7,"RT @gpWuhRSCykfHkGM: 🎁プレゼント企画🎁

スイッチ＆スプラ3/iPhone14/アマギフ5万円分の中から、好きな物をプレゼント❗
※当選実績は「いいね」参照

【応募方法】
1️⃣@gpWuhRSCykfHkGMをフォロー
2️⃣この投稿をRT
※完了した…",everyone,False,['1591204628171198465'],Twitter for Android,ja,"[{'type': 'retweeted', 'id': '1591204122102988802'}]",1591204628171198465,2022-11-11T23:02:01.000Z,"[{'domain': {'id': '46', 'name': 'Business Taxonomy', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '1557696940178935808', 'name': 'Gaming Business', 'description': 'Brands, companies, advertisers and every non-person handle with the profit intent related to offline and online games such as gaming consoles, tabletop games, video game publishers'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10026364281', 'name': 'Apple'}}, {'domain': {'id': '71', 'name': 'Video Game', 'description': 'A video game like Overwatch'}, 'entity': {'id': '854949050151452672', 'name': 'Splatoon', 'description': 'This entity includes all conversation about the franchise, as well as any individual installments in the series, if applicable.\t\t\t'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '10026364281', 'name': 'Apple'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '847527650667094017', 'name': 'Gaming', 'description': 'Gaming'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '854949050151452672', 'name': 'Splatoon', 'description': 'This entity includes all conversation about the franchise, as well as any individual installments in the series, if applicable.\t\t\t'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1070028159964262400', 'name': 'Video games'}}]",976627235015684096,1591204628171198465,1653,0,0,0,,,,5,False,2022-11-11T23:32:01.000Z,,"[{'start': 3, 'end': 19, 'username': 'gpWuhRSCykfHkGM', 'id': '1186858463625760768'}, {'start': 101, 'end': 117, 'username': 'gpWuhRSCykfHkGM', 'id': '1186858463625760768'}]",
8,"RT @EZC41: #EZC4 #EZC4แจกจริง
#แจกเครดิตฟรี 50.- บาทรับได้ฟรี
โค้ดฟรี: EZC401XDA6LCPAP

หรือสนใจรับฟรีอีก 👇🏻
รับทุนฟรี: https://t.co/NY3BSe…",everyone,False,['1591204620940218368'],Twitter for Android,th,"[{'type': 'retweeted', 'id': '1567820890850852866'}]",1591204620940218368,2022-11-11T23:01:59.000Z,,1546772694108368896,1591204620940218368,3615,0,0,0,,"[{'start': 11, 'end': 16, 'tag': 'EZC4'}, {'start': 17, 'end': 29, 'tag': 'EZC4แจกจริง'}, {'start': 30, 'end': 43, 'tag': 'แจกเครดิตฟรี'}]",,5,False,2022-11-11T23:31:59.000Z,,"[{'start': 3, 'end': 9, 'username': 'EZC41', 'id': '1567818433517211656'}]",
9,"RT @gpWuhRSCykfHkGM: 🎁プレゼント企画🎁

スイッチ＆スプラ3/iPhone14/アマギフ5万円分の中から、好きな物をプレゼント❗
※当選実績は「いいね」参照

【応募方法】
1️⃣@gpWuhRSCykfHkGMをフォロー
2️⃣この投稿をRT
※完了した…",everyone,False,['1591204615206629376'],Twitter for Android,ja,"[{'type': 'retweeted', 'id': '1591204122102988802'}]",1591204615206629376,2022-11-11T23:01:58.000Z,"[{'domain': {'id': '46', 'name': 'Business Taxonomy', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '1557696940178935808', 'name': 'Gaming Business', 'description': 'Brands, companies, advertisers and every non-person handle with the profit intent related to offline and online games such as gaming consoles, tabletop games, video game publishers'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10026364281', 'name': 'Apple'}}, {'domain': {'id': '71', 'name': 'Video Game', 'description': 'A video game like Overwatch'}, 'entity': {'id': '854949050151452672', 'name': 'Splatoon', 'description': 'This entity includes all conversation about the franchise, as well as any individual installments in the series, if applicable.\t\t\t'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '10026364281', 'name': 'Apple'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '847527650667094017', 'name': 'Gaming', 'description': 'Gaming'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '854949050151452672', 'name': 'Splatoon', 'description': 'This entity includes all conversation about the franchise, as well as any individual installments in the series, if applicable.\t\t\t'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1070028159964262400', 'name': 'Video games'}}]",4141185012,1591204615206629376,1653,0,0,0,,,,5,False,2022-11-11T23:31:58.000Z,,"[{'start': 3, 'end': 19, 'username': 'gpWuhRSCykfHkGM', 'id': '1186858463625760768'}, {'start': 101, 'end': 117, 'username': 'gpWuhRSCykfHkGM', 'id': '1186858463625760768'}]",
